sample_id,reqId,model,mode,testId,n_test_occurrences,element_type,element_text,evidence_window,full_evidence,window_is_fallback,anchor_terms_in_window,gherkin_test,matcher_verdict,human_verdict,notes
13,R30,claude-haiku-4-5-20251001,vector,R30_4,3,cross_module,Cancellation penalty bug,"rs"",
    ""description"": ""Allow authorized users to manually trigger rent completion. This is required for early returns."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""2026-02-21T10:15:00Z"",
        ""text"": ""Clarification needed: If an operator completes a rent early, does the 'Maintenance' (v1.2) period start immediately, or only at the original end date?""
      }
    ]
  },
  {
  ""ticket_id"": ""JIRA-LIFE-205"",
  ""summary"": ""Bug: Penalty applied during early operator cancellation"",
  ""description"": ""An operator reported that a rent was stopped shortly after it became active, but the system still applied a penalty fee. Based on earlier lifecycle guidance, there may have been a short tolerance window in which this kind of early cancellation should not have triggered the charge."",
  ""s

[3] source=f5347fc41dbe1de1 type=SrcChunk hops=0 score=0.6672 chunk=f5347fc41dbe1de1 doc=TOOLCHAIN-CONF-RENT-01-v1.2.md rel=VECTOR_SIM",False,False,3,"Feature: Operator Grace-Period Cancellation
  Scenario: Operator attempts to cancel completed rent
    Given an operator with OPERATOR role
    And a rent record in Completed status
    When the operator attempts to initiate cancellation
    Then the cancellation is prevented
    And an error message is returned indicating the record cannot be cancelled",present_in_evidence,PRESENT_USABLE,
14,R60c,gpt-4o-mini,vector,R60c_1,20,cross_module,Marketing vs system notification boundary ambiguity," by authorized users.

## 4.5 Availability Status Updates
## 4.5.1 The system shall automatically update availability status when rent lifecycle events occur.
## 4.5.2 The system shall ensure availability status reflects the current lifecycle state of rent records.
## 4.5.3 The system shall ensure availability changes are applied immediately.

[8] source=71a9b59bdfea7f2f type=SrcChunk hops=0 score=0.6636 chunk=71a9b59bdfea7f2f doc=EMAIL_MARKETING_Newsletter_Force.txt rel=VECTOR_SIMILARITY
From: marketing@toolchain.com
Date: 2026-02-26 16:00
Subject: Question about promotional content in reminder communications

Hi Team,

For the beta period, Marketing would like to explore whether reminder-style emails could also carry a small promotional or onboarding message, instead of treating product messaging and operational reminders as completely separate streams.

Before we move in that direction, we need guidance on how this should interact with user notification settings. From a campaign per",False,False,2,"Feature: Notification Preference Enforcement
  Scenario: User prefers email notifications
    Given the user has set their notification preference to 'Email'
    When a notification event occurs
    Then the user should receive an email notification",present_in_evidence,PRESENT_USABLE,
15,R97b,gpt-4o-mini,graph,R97b_1,10,refine,Penalty lateness threshold definition,"To Do""
  },
  {
    ""ticket_id"": ""JIRA-REW-903"",
    ""summary"": ""Loyalty Tier Automation"",
    ""description"": ""Implement configurable loyalty tier a

[7] source=I94b type=Implementation hops=1 rel=IMPLEMENTS
Late return penalty calculation

[8] source=G23 type=Gap hops=2 rel=IN_DOC > IN_DOC
Grace-period cancellation rule ambiguity

[9] source=G91c type=Gap hops=2 rel=IN_DOC > IN_DOC
Loyalty business rule definition gap

[10] source=I25 type=Implementation hops=2 rel=IN_DOC > IN_DOC
Cancellation penalty bug

[11] source=R100b type=Requirement hops=2 rel=IN_DOC > IN_DOC
Reward and penalty audit logging

[12] source=R41 type=Requirement hops=2 rel=IMPLEMENTS > AFFECTS
Availability calculation rule

[13] source=R43 type=Requirement hops=2 rel=IN_DOC > IN_DOC
Overlap prevention rule

[14] source=R91d type=Requirement hops=2 rel=IN_DOC > IN_DOC
Loyalty points accrual rule

[15] source=R102d type=Requirement hops=1 rel=REFINES
Penalty lateness threshold definition",False,False,4,"Given an authorized user is logged in
When the user creates a penalty record
Then the system should save the penalty record successfully",present_in_evidence,ABSENT,
16,R70,claude-haiku-4-5-20251001,hybrid,R70_1,27,conflict,Price calculation logic,"type=Implementation/SrcChunk hops=1 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=CONFLICTS_WITH
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related operational concern, but must not silently override the core pricing logic."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""times",False,False,3,"Feature: Subtotal Rounding Consistency
  Scenario: Subtotal with fractional cents is rounded consistently
    Given a rental with duration 3 hours and hourly rate of $10.33
    When the subtotal is calculated
    Then the calculated subtotal should be $30.99
    And the stored subtotal should match the calculated subtotal
    And the displayed subtotal should match the stored subtotal",present_in_evidence,PRESENT_USABLE,
17,R91c,gpt-4o-mini,hybrid,R91c_10,6,local,Delivery lifecycle synchronization,"[1] source=R91c type=Requirement hops=0 rel=TARGET
Delivery lifecycle synchronization

[2] source=R91c type=Requirement/SrcChunk hops=0 chunk=beb42617cfc95144 doc=JIRA-Delivery-Control.md rel=TARGET
arta"",
        ""timestamp"": ""2026-03-10T11:30:00Z"",
        ""text"": ""Please confirm how unsupported edge windows should appear in the user flow. There is a difference between a slot that is structurally outside delivery hours and one that is technically valid but already unavailable.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-DEL-803"",
    ""summa",False,False,3,"Feature: Delivery Record Association
  Scenario: Delivery record is linked to the correct rent record
    Given a delivery has been scheduled
    When the delivery record is created
    Then it should be associated with the correct rent record",present_in_evidence,PRESENT_USABLE,
18,R2,claude-haiku-4-5-20251001,vector,R2_1,9,supersede,Allow duplicate email for shared inbox,"orm access for accounts that are not in Active status (e.g., Pending, Suspended, Deleted)."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-110"",
    ""summary"": ""Activation token - Enforce single-use"",
    ""description"": ""Activation tokens shall be single-use. After a successful activation, the system shall invalidate the activation token immediately to prevent reuse."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-111"",
    ""summary"": ""Support registration for multiple users sharing the same email address"",
    ""description"": ""In some use cases (e.g. family accounts or shared organizational email addresses), multiple users may attempt to register using the same email address. Instead of enforcing strict email uniqueness, we may allow multiple accountsto share the same email if another identifier (such as phone number) is unique. This would require adjusting the registration validation logic."",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ",False,False,3,"Feature: Email Uniqueness Validation
  Scenario: User registers with a unique email address
    Given a new user registration form
    When the user enters a unique email address that has not been used before
    Then the email validation should pass
    And the registration should proceed to the next step",present_in_evidence,PRESENT_USABLE,
19,R25,gpt-4o-mini,graph,R25_1,18,cross_module,Lifecycle event notification coverage,"l payment amount.

## 6.7 Billing History
## 6.7.1 The system shall maintain billing history for each user.
## 6.7.2 The syst

[15] source=G22 type=Gap/SrcChunk hops=2 chunk=9978dc0dcd43a512 doc=JIRA-Item.md rel=IMPLEMENTS > AFFECTS
"": ""Terminology check: the deletion outcome described in the specification does not map cleanly to the status values currently supported in the database. I need confirmation whether deleted items should reuse a non-rentable status or whether this requires a separate lifecycle value.""
      }
    ]
  }
]

[16] source=D22 type=Specification hops=2 rel=DEFINED_IN > SUPERSEDES
Rent Lifecycle v1.1 (Cleaning)

[17] source=G81b type=Gap hops=2 rel=IN_DOC > IN_DOC
Delivery and rent lifecycle synchronization ambiguity

[18] source=I24 type=Implementation hops=1 rel=IMPLEMENTS
Manual rent completion

[19] source=R29 type=Requirement hops=1 rel=REFINES
Post-rent maintenance handling

[20] source=R52c type=Requirement hops=1 rel=AFFECTS
Lifecycle event notification cov",False,False,4,"Feature: End-of-rent lifecycle transition
  Scenario: Update status when rental end date is reached
    Given the rental end date is reached
    When the system processes the end-of-rent lifecycle
    Then the status should be updated to 'Maintenance'",present_in_evidence,PRESENT_SCATTERED,
20,R102d,gpt-4o-mini,vector,R102d_10,10,conflict,Late return penalty calculation," registration. Consider making 

[32] source=88cf695dfa82d282 type=SrcChunk hops=0 score=0.6716 chunk=88cf695dfa82d282 doc=TOOLCHAIN-CONF-REWARDS&PANELTIES-01.md rel=VECTOR_SIMILARITY
9.2.5 The system shall record loyalty redemption transactions.

## 9.3 Loyalty Tier Management
## 9.3.1 The system shall support configurable loyalty tiers.
## 9.3.2 The system shall assign loyalty tier based on configured thresholds.
## 9.3.3 The system shall automatically update user loyalty tier status.

## 9.4 Penalty Application
## 9.4.1 The system shall apply penalties for late returns.
## 9.4.2 The system shall calculate penalties based on configured penalty rules.
## 9.4.3 The system shall apply penalties for damage incidents.
## 9.4.4 The system shall associate penalties with rent records.
## 9.4.5 The system shall include penalties in invoices.

## 9.5 Penalty Management
## 9.5.1 The system shall allow authorized users to create penalty records.
## 9.5.2 The system shall allow authorized users t",False,False,4,"Feature: Penalty Lateness Threshold Definition
  Scenario: Review the penalty lateness threshold periodically
    Given the penalty lateness threshold is set to 30 minutes
    When the review process is initiated
    Then the threshold should be evaluated for relevance and effectiveness",present_in_evidence,ABSENT,
21,R69,claude-haiku-4-5-20251001,graph,R69_1,18,cross_module,Price calculation logic,"ce=I62 type=Implementation/SrcChunk hops=1 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=AFFECTS
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related operational concern, but must not silently override the core pricing logic."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""times",False,False,3,"Feature: Monetary Representation Consistency
  Scenario: Subtotal matches when calculated directly versus derived from line items
    Given a transaction with multiple line items
    When the subtotal is calculated directly from the transaction
    And the subtotal is derived by summing individual line item amounts
    Then both subtotal values must be identical
    And the persisted subtotal must match the displayed subtotal",present_in_evidence,PRESENT_USABLE,
22,R102d,gpt-4o-mini,hybrid,R102d_1,9,local,Penalty lateness threshold definition,"d have waived the penalty in the initial operator tolerance window. It may have been removed, or it may simply be missing from the latest write-up.""
    },
    {
      ""author"": ""PM Peter"",
      ""timestamp"": ""2026-02-21T11:00:00Z"",
      ""text"": ""This needs confirmation. If the newer lifecycle material dropped that exception without an explicit decision, we need to determine whether that was intentional or a documentation gap.""
    }
  ]
}
]

[2] source=R102d type=Requirement hops=0 rel=TARGET
Penalty lateness threshold definition

[3] source=R102d type=Requirement/SrcChunk hops=0 chunk=a4a287abb143e79a doc=JIRA-Rewards.md rel=TARGET
nal buffer before charges apply.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-REW-905"",
    ""summary"": ""Penalty Dispute Workflow"",
    ""description"": ""Implement penalty dispute submission and resolution so users can challenge penalty outcomes and authorized staff can record the final decision together with any resulting adjustment."",
    ""status"": ""To D",False,False,4,"Feature: Penalty Application
  Scenario: Apply penalty for a late return
    Given a rental record with a return date of ""2026-03-01""
    And the current date is ""2026-03-02""
    When the system checks for penalties
    Then a penalty should be applied to the rental record",present_in_evidence,PRESENT_USABLE,
23,R33,gpt-4o-mini,hybrid,R33_1,13,local,Identifier format rule,"[1] source=R33 type=Requirement hops=0 rel=TARGET
Identifier format rule

[2] source=R33 type=Requirement/SrcChunk hops=0 chunk=b046296a3e9c6aab doc=JIRA-Auth.md rel=TARGET
""description"": ""Validate that the email address provided during registration is unique and not already associated with an existing account. Uniqueness validation shall be case-insensitive."",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""2026-02-15T08:22:00Z"",
        ""text"": ""Should email addresses be case-sensitive when checking for ",False,False,3,"Feature: Identifier uniqueness
  Scenario: Ensure that each identifier is unique
    Given I am on the item creation screen
    When I enter an identifier that already exists
    Then I should see an error message indicating the identifier must be unique",present_in_evidence,ABSENT,
24,R50,gpt-4o-mini,hybrid,R50_1,27,refine,Availability query correctness,"ot currency scenarios, so I explored a more compact display format there while keeping more precise values in the underlying records. We need confirmation that the user-facing total must always match the persisted billing amount exactly.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-PAY-603"",
    ""summary"": ""Invoice Generation Engine"",
    ""description"": ""Generate invoices for billable rental outcomes, assign stable invoice identif

[11] source=I42 type=Implementation hops=1 rel=CONFLICTS_WITH
Availability query API

[12] source=R45 type=Requirement hops=1 rel=REFINES
Availability query correctness

[13] source=G22 type=Gap/SrcChunk hops=2 chunk=128cf22dddc1b4d2 doc=JIRA-Lifecycle.md rel=IN_DOC > IN_DOC
[
  {
    ""ticket_id"": ""JIRA-LIFE-201"",
    ""summary"": ""Implement Rent Creation Flow"",
    ""description"": ""Develop the initial rent request screen based on TOOLCHAIN-CONF-RENT-01 Section 2.1. The system must capture item selection, start date, and end date. Ensure a unique Rent ID is g",False,False,3,"Feature: Availability Calculation Logic
  Scenario: Calculate item availability based on existing rent records
    Given there are existing rental records for an item
    When the system calculates availability
    Then the item should be marked as unavailable for any period where an Active or Approved rent exists
    And overlapping rent periods should be prevented",present_in_evidence,PRESENT_SCATTERED,
25,R72b,claude-haiku-4-5-20251001,graph,R72b_1,14,refine,Authoritative monetary source consistency,"[1] source=R72b type=Requirement hops=0 rel=TARGET
Financial report accuracy rule

[2] source=R72b type=Requirement/SrcChunk hops=0 chunk=c9549ababe52be5f doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=TARGET
From: internal_audit@toolchain.com
Date: 2026-03-08 14:00
Subject: Review findings on reporting consistency

Hi Dev Team,

During our recent reporting review, we found several consistency issues that need clarification before the reporting package can be considered reliable for audit use.

F",False,False,2,"Feature: Financial Report Accuracy - Rounding Consistency

  Scenario: Exported financial report applies consistent rounding rules
    Given a financial report with line items containing decimal values
    When the report is exported to multiple formats (PDF, CSV, JSON)
    Then all exported formats must apply the same rounding precision
    And rounding discrepancies between formats must not exceed zero
    And the rounding method (round-half-up, banker's rounding, etc.) must be documented and consistent",present_in_evidence,PRESENT_USABLE,
