item_id;reqId;element_text;gherkin_test;verdict_TRUE_MISS_PARAPHRASE_PARTIAL
11;R31;EMAIL_OPS_MixerSpecialRule.txt;"Feature: Maintenance Matrix Dependency - Default Category Behavior

  Scenario: Standard equipment receives default 2-hour maintenance window
    Given a non-Concrete Mixer equipment item (e.g., Jackhammer) is returned at rental end date
    When the system processes the maintenance period
    Then the maintenance duration shall be 120 minutes (2 hours)
    And the status shall transition to 'Maintenance'
    And the item shall remain unavailable for the entire 120-minute window";TRUE_MISS
12;R71;Calculation accuracy rule;"Given a user makes a purchase involving USD and EUR
When the transaction is processed
Then the total should accurately reflect the conversion of both currencies";PARTIAL
13;R72b;Financial source-of-truth ambiguity;"Feature: Financial report accuracy
  Scenario: Impact of rounding on totals
    Given a financial report with multiple line items
    When the report is calculated with rounding rules
    Then the total must reflect accurate rounding without discrepancies";TRUE_MISS
14;R47;Maintenance-state representation ambiguity;"Feature: Maintenance Blocking Rule
  Scenario: Authorized user modifies maintenance period
    Given an authorized user has permission to modify maintenance periods
    When the user modifies the maintenance period for an item
    Then the maintenance period is updated
    And the blocking rule applies to the new maintenance period";TRUE_MISS
15;R82b;Financial report accuracy rule;"Feature: Reporting data lineage traceability
  Scenario: Verify completeness of audit logs
    Given the system has recorded data lineage events
    When the audit logs are reviewed
    Then all data lineage events should be present in the audit logs";TRUE_MISS
16;R31;EMAIL_OPS_MixerSpecialRule.txt;"Feature: Maintenance Status and Duration Sequencing
  Scenario: Equipment status becomes 'Maintenance' before duration timer starts
    Given an equipment item at rental end date
    When the rental end date is reached
    Then the status shall be updated to 'Maintenance'
    And the maintenance duration shall be applied based on the equipment category";TRUE_MISS
17;R5;Activation token hashing and expiry;"Feature: Activation Link Security
  Scenario: Active account can authenticate after successful activation
    Given a user has registered with email ""user@example.com""
    And the user has successfully activated their account
    And the account status is Active
    When the user authenticates with valid credentials
    Then authentication should succeed
    And the user should be granted platform access";PARTIAL
18;R103d;Currency consistency gap;"Feature: Loyalty Points Accrual
  Scenario: User earns loyalty points when rent is completed and payment is paid
    Given a user has completed a rent transaction
    And the payment status for the rent is Paid
    When the system processes the loyalty points accrual
    Then loyalty points shall be assigned to the user account
    And the loyalty points shall be calculated according to configured business rules";TRUE_MISS
19;R45;Availability query correctness;"Given the item is unavailable from 2023-10-01 to 2023-10-10
When the user queries availability for the date range 2023-10-01 to 2023-10-05
Then the system should return 'unavailable'";PARAPHRASE
20;R63;Multi-currency conversion integrity;"Feature: Fractional Cent Precision
  Scenario: Verify precise handling of fractional cents in billing
    Given a line item cost of 10.001
    And a billing system that requires cent-level precision
    When the system processes the billing
    Then the fractional cent is explicitly handled per the precision rule
    And the handling method is documented
    And no silent truncation or rounding occurs";TRUE_MISS
21;R34;Identifier terminology ambiguity;"Feature: Identifier consistency rule
  Scenario: Successful registration with unique email and phone number
    Given no user exists with email ""unique@example.com""
    And no user exists with phone number ""1112223333""
    When a new user registers with email ""unique@example.com"" and phone number ""1112223333""
    Then the registration should be successful";Partial
22;R72b;EMAIL_DATA_Internal_Audit_Discrepancy.txt;"Feature: Financial report accuracy
  Scenario: Rounding discrepancies in exported financial reports
    Given a financial report is generated
    When the report is exported
    Then the report should not contain any rounding discrepancies";TRUE_MISS
23;R80;Financial report accuracy rule;"Feature: Authoritative monetary source consistency
  Scenario: Discrepancy detection in financial outputs
    Given the authoritative monetary source is set
    When comparing financial outputs
    Then there should be no discrepancies found";TRUE_MISS
24;R103d;Currency consistency gap;"Feature: Loyalty Balance Update
  Scenario: User loyalty balance is updated immediately after points are awarded
    Given a user has completed a rent transaction
    And the payment status for the rent is Paid
    And loyalty points have been calculated and assigned
    When the system awards the loyalty points
    Then the user's loyalty balance shall be updated immediately
    And the updated balance shall reflect the newly awarded points";TRUE_MISS
25;R25;Rental cost calculation rule;"Feature: End-of-rent lifecycle transition

Scenario: Rent must be in Maintenance status before transitioning to Completed
  Given a rent record with status 'Active'
  And the rental end date has been reached
  When the system processes the end-of-rent lifecycle event
  Then the rent status shall be updated to 'Maintenance' first
  And the rent shall not transition directly to 'Completed'
  And the maintenance period must elapse before the status can change to 'Completed'";TRUE_MISS
26;R82b;Financial report accuracy rule;"Feature: Lifecycle Event Logging
  Scenario: Logging events for a rent record
    Given a rent record is created
    When the system logs the lifecycle events
    Then the log should include creation, approval, rejection, activation, completion, cancellation, and modification events";TRUE_MISS
27;R63;Financial report accuracy rule;"Feature: Calculation Accuracy Consistency
  Scenario: Verify calculation result matches stored and displayed value
    Given a rental calculation with base price 100.00 and duration 5 days
    When the system calculates the total cost
    Then the calculated value is 500.00
    And the stored value in the database is 500.00
    And the displayed value to the user is 500.00
    And all three values are identical";PARTIAL
28;R72b;EMAIL_DATA_Internal_Audit_Discrepancy.txt;"Feature: Financial Report Accuracy - Customer Visibility
  Scenario: Customer-visible financial totals match underlying records
    Given a customer views their financial summary in the billing portal
    When the customer-visible total is compared to the underlying financial records
    Then the displayed total must match the sum of all underlying transactions
    And any formatting or display rounding must not alter the actual total value
    And the source of the displayed total must be traceable to a specific record set";TRUE_MISS
29;R38;Item database schema (Serial ID);"Feature: Identifier Alias Consistency - Reporting for Warehouse Audience

  Scenario: System outputs warehouse-facing identifier in reports for operational audience
    Given an item has both formal specification identifier and warehouse-facing identifier
    When a report is generated for warehouse operational audience
    Then the report must display the warehouse-facing identifier
    And the warehouse-facing identifier must match the stored warehouse-facing identifier
    And the report must use warehouse-friendly terminology";TRUE_MISS
30;R29;Early completion lifecycle ambiguity;"Feature: Post-rent maintenance handling
  Scenario: Equipment returns to rentable state after maintenance window
    Given the maintenance window for the equipment has elapsed
    When the system processes the equipment
    Then the equipment should be marked as rentable again";TRUE_MISS
